case_key,class,mode,unit_id,status,nA,nB,a_uids,b_uids,a_feat_ids,b_feat_ids,a_src_files,b_src_files,cas,oc,ar,area_a,area_b,area_intersection
S2415106A01,Basal Plasmacytosis,one_to_one,Basal Plasmacytosis:pair_0,matched,1,1,S2415106A01|0:A:9967a919-c6eb-441b-9c73-369324c4b917,S2415106A01|0:B:a78fdce5-51a3-4344-a67c-517f4e5db7f3,9967a919-c6eb-441b-9c73-369324c4b917,a78fdce5-51a3-4344-a67c-517f4e5db7f3,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2415106A01\S2415106A01 1.geojson,0.3667787241033825,0.3668407310704961,1.0374588752637237,513372.0,494836.0,181526.0
S2415106A01,Basal lymphoid aggregates,one_to_one,Basal lymphoid aggregates:pair_0,matched,1,1,S2415106A01|0:A:4b4c6d81-4cd9-4b36-8073-f21ece482988,S2415106A01|0:B:5aaa0a76-0d93-4809-969a-d79524dfe13f,4b4c6d81-4cd9-4b36-8073-f21ece482988,5aaa0a76-0d93-4809-969a-d79524dfe13f,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2415106A01\S2415106A01 1.geojson,0.9422964389114401,1.0,1.9928239108980685,848106.0,425580.0,425580.0
S2415106A01,Crypt abscess,one_to_one,Crypt abscess:pair_0,matched,1,1,S2415106A01|0:A:e2293940-2f75-45cc-98f3-f330c0e0d4f3,S2415106A01|0:B:45afa036-0f31-4f6a-baac-ec1872a5b230,e2293940-2f75-45cc-98f3-f330c0e0d4f3,45afa036-0f31-4f6a-baac-ec1872a5b230,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2415106A01\S2415106A01 1.geojson,0.9796867364781947,0.9799270072992701,1.045287532057605,1356432.0,1297664.0,1271616.0
S2415106A01,Crypt abscess,one_to_one,Crypt abscess:pair_1,matched,1,1,S2415106A01|0:A:a9fcb843-fb24-4227-a802-4ac166eab5a8,S2415106A01|0:B:11348865-bd7b-4790-ba32-f8c9a539596a,a9fcb843-fb24-4227-a802-4ac166eab5a8,11348865-bd7b-4790-ba32-f8c9a539596a,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2415106A01\S2415106A01 1.geojson,0.9695227560519152,0.9712543554006968,1.126910926079623,1178555.0,1045828.0,1015765.0
S2415106A01,Crypt abscess,one_to_one,Crypt abscess:pair_2,matched,1,1,S2415106A01|0:A:fe83e338-3e01-4510-bc1a-0e3311e3cce2,S2415106A01|0:B:4f23f5e7-d078-46df-9efc-255afa2c9f7a,fe83e338-3e01-4510-bc1a-0e3311e3cce2,4f23f5e7-d078-46df-9efc-255afa2c9f7a,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2415106A01\S2415106A01 1.geojson,0.9135659932800079,1.0,2.3406064967777813,183414.0,429300.0,183414.0
S2415106A01,Crypt abscess,one_to_one,Crypt abscess:pair_3,matched,1,1,S2415106A01|0:A:d481d924-01d4-403b-b83e-b4070b0adf18,S2415106A01|0:B:33fedac3-fdc2-45ce-a2eb-0f13ac423d13,d481d924-01d4-403b-b83e-b4070b0adf18,33fedac3-fdc2-45ce-a2eb-0f13ac423d13,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2415106A01\S2415106A01 1.geojson,0.9048634606954752,0.9057591623036649,1.0930443095272764,517962.0,473871.0,429213.0
S2415106A01,Marked (>50%) crypt distortion,one_to_one,Marked (>50%) crypt distortion:pair_0,matched,1,1,S2415106A01|0:A:5f81ddeb-f873-4a00-a989-56eb4039f881,S2415106A01|0:B:5eb4c90e-cb86-400e-b986-ec2781334aee,5f81ddeb-f873-4a00-a989-56eb4039f881,5eb4c90e-cb86-400e-b986-ec2781334aee,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2415106A01\S2415106A01 1.geojson,0.9944776921143175,1.0,1.234267632488862,27541248.0,22313838.0,22313838.0
S2415106A01,Marked (>50%) crypt distortion,one_to_one,Marked (>50%) crypt distortion:pair_1,matched,1,1,S2415106A01|0:A:66c7b2ec-174f-4da4-8abc-27681fe8bcb7,S2415106A01|0:B:be69d6fb-8bba-4235-a60a-de0ea3466331,66c7b2ec-174f-4da4-8abc-27681fe8bcb7,be69d6fb-8bba-4235-a60a-de0ea3466331,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2415106A01\S2415106A01 1.geojson,0.9630458771744973,1.0,1.731256987933275,22443008.0,12963418.0,12963418.0
S2415106A01,Marked (>50%) crypt distortion,one_to_one,Marked (>50%) crypt distortion:pair_2,matched,1,1,S2415106A01|0:A:bbc87937-087d-41a0-a189-8a58a7601b86,S2415106A01|0:B:668cc7d2-89bb-4979-ac7c-1b264537939e,bbc87937-087d-41a0-a189-8a58a7601b86,668cc7d2-89bb-4979-ac7c-1b264537939e,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2415106A01\S2415106A01 1.geojson,0.9599010066860965,0.9946491548096802,1.7046604782998684,89515264.0,52512078.0,52231094.0
S2415106A01,Marked (>50%) crypt distortion,one_to_one,Marked (>50%) crypt distortion:pair_3,matched,1,1,S2415106A01|0:A:c73f74d6-b31f-47bd-b56d-8e8da48576f4,S2415106A01|0:B:b2e7f418-946c-4e42-8f6d-8d029f5f6e4c,c73f74d6-b31f-47bd-b56d-8e8da48576f4,b2e7f418-946c-4e42-8f6d-8d029f5f6e4c,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2415106A01\S2415106A01 1.geojson,0.9478025628630624,1.0,1.9249184349656463,38790400.0,20151711.0,20151711.0
