case_key,class,mode,unit_id,status,nA,nB,a_uids,b_uids,a_feat_ids,b_feat_ids,a_src_files,b_src_files,cas,oc,ar,area_a,area_b,area_intersection
S2415106A01,Basal Plasmacytosis,components,Basal Plasmacytosis:comp_0,component_fn,1,0,S2415106A01|0:A:4be95589-dc7b-4043-98be-69be90d36d66,,4be95589-dc7b-4043-98be-69be90d36d66,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,,0.0,0.0,inf,972192.0,0.0,0.0
S2415106A01,Basal Plasmacytosis,components,Basal Plasmacytosis:comp_1,component_fn,1,0,S2415106A01|0:A:77d817da-8f2e-4ffb-b1f6-993792687d0c,,77d817da-8f2e-4ffb-b1f6-993792687d0c,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,,0.0,0.0,inf,923640.0,0.0,0.0
S2415106A01,Basal Plasmacytosis,components,Basal Plasmacytosis:comp_2,component_fn,1,0,S2415106A01|0:A:9967a919-c6eb-441b-9c73-369324c4b917,,9967a919-c6eb-441b-9c73-369324c4b917,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,,0.0,0.0,inf,513372.0,0.0,0.0
S2415106A01,Basal Plasmacytosis,components,Basal Plasmacytosis:comp_3,component_fn,1,0,S2415106A01|0:A:6fd21538-5854-439b-8897-395e9533b023,,6fd21538-5854-439b-8897-395e9533b023,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,,0.0,0.0,inf,347760.0,0.0,0.0
S2415106A01,Basal Plasmacytosis,components,Basal Plasmacytosis:comp_4,component_fn,1,0,S2415106A01|0:A:85b0ad33-d92c-4b49-a06c-a9f6a485ff05,,85b0ad33-d92c-4b49-a06c-a9f6a485ff05,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,,0.0,0.0,inf,378443.0,0.0,0.0
S2415106A01,Basal Plasmacytosis,components,Basal Plasmacytosis:comp_5,component_fn,1,0,S2415106A01|0:A:506a78d3-aa1d-4bc7-986e-e2b25e808284,,506a78d3-aa1d-4bc7-986e-e2b25e808284,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,,0.0,0.0,inf,903672.0,0.0,0.0
S2415106A01,Basal Plasmacytosis,components,Basal Plasmacytosis:comp_6,component_fn,1,0,S2415106A01|0:A:aaab56ff-18f8-4b6e-a5ab-f5037d0554a4,,aaab56ff-18f8-4b6e-a5ab-f5037d0554a4,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,,0.0,0.0,inf,886445.0,0.0,0.0
S2415106A01,Basal Plasmacytosis,components,Basal Plasmacytosis:comp_7,component_fn,1,0,S2415106A01|0:A:edc23dae-32f8-46f3-8b3a-aa4dbab7cbdb,,edc23dae-32f8-46f3-8b3a-aa4dbab7cbdb,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,,0.0,0.0,inf,297490.0,0.0,0.0
S2415106A01,Basal Plasmacytosis,components,Basal Plasmacytosis:comp_8,component_fn,1,0,S2415106A01|0:A:8d91ae44-1c32-487f-bed4-dfee638bf93b,,8d91ae44-1c32-487f-bed4-dfee638bf93b,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,,0.0,0.0,inf,604752.0,0.0,0.0
S2415106A01,Basal Plasmacytosis,components,Basal Plasmacytosis:comp_9,component_fn,1,0,S2415106A01|0:A:a84a856f-17a8-45a9-933e-5cfcaa8e1a3e,,a84a856f-17a8-45a9-933e-5cfcaa8e1a3e,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2415106A01\S2415106A01.geojson,,0.0,0.0,inf,697068.0,0.0,0.0
